Food,Calories,Protein,Carbs,Fat,Fiber,Sugars,Cholesterol
scrambled eggs,180,12.0,2.0,14.0,0.0,1.0,370
whole wheat toast,80,4.0,14.0,1.0,2.0,2.0,0
coffee,5,0.3,0.0,0.1,0.0,0.0,0
banana,105,1.3,27.0,0.4,3.1,14.0,0
grilled chicken salad,350,30.0,10.0,20.0,5.0,4.0,80
apple,95,0.5,25.0,0.3,4.4,19.0,0
salmon,230,25.0,0.0,14.0,0.0,0.0,60
quinoa,222,8.0,39.0,3.6,5.0,1.0,0
steamed broccoli,55,3.7,11.2,0.6,5.1,2.0,0
greek yogurt,150,25.0,8.0,3.0,0.0,7.0,10
oatmeal,160,6.0,28.0,3.0,4.0,1.0,0
blueberries,42,0.5,11.0,0.2,1.8,7.0,0
almonds,164,6.0,6.0,14.0,3.5,1.0,0
turkey sandwich,340,22.0,34.0,12.0,5.0,6.0,50
carrot sticks,52,1.2,12.3,0.3,3.6,6.0,0
spaghetti bolognese,460,20.0,55.0,18.0,6.0,10.0,50
side salad,70,2.0,8.0,4.0,3.0,3.0,0
protein shake,120,24.0,3.0,1.0,1.0,2.0,5
cereal,130,2.0,31.0,0.0,1.0,11.0,0
lentil soup,230,15.0,35.0,3.0,12.0,6.0,0
white rice,204,4.2,44.5,0.4,0.6,0.1,0
tofu stir-fry,400,18.0,30.0,22.0,7.0,9.0,0
orange,62,1.2,15.4,0.2,3.1,12.0,0
bagel,270,11.0,55.0,1.5,2.0,5.0,0
cream cheese,100,2.0,2.0,10.0,0.0,1.0,30
tuna salad,190,19.0,2.0,12.0,1.0,1.0,30
crackers,90,2.0,14.0,3.0,2.0,0.0,0
beef steak,270,42.0,0.0,10.0,0.0,0.0,115
baked potato,160,4.3,36.0,0.2,3.8,1.0,0
ice cream,145,2.5,17.0,7.5,0.5,16.0,30
pizza,290,12.0,34.0,12.0,2.0,4.0,35
avocado toast,260,7.0,28.0,15.0,10.0,1.0,0
hard-boiled egg,78,6.3,0.6,5.3,0.0,0.5,187
chicken wrap,410,25.0,38.0,17.0,5.0,3.0,60
grapes,104,1.1,27.0,0.2,1.4,23.0,0
cottage cheese,90,12.0,5.0,3.0,0.0,4.0,10
cheeseburger,550,30.0,40.0,30.0,3.0,7.0,90
french fries,340,4.0,44.0,17.0,4.0,0.3,0
protein bar,210,20.0,22.0,7.0,6.0,1.0,5
black beans,114,7.6,20.4,0.5,7.5,0.3,0
salsa,20,0.8,4.5,0.1,1.0,3.0,0
chicken noodle soup,150,7.0,18.0,5.0,2.0,2.0,15
peanut butter,190,7.0,8.0,16.0,2.0,3.0,0
celery sticks,14,0.6,3.0,0.2,1.4,1.2,0
cod,95,20.0,0.0,0.8,0.0,0.0,55
green beans,31,1.8,7.0,0.2,2.7,3.3,0
chocolate chip cookie,220,2.5,30.0,11.0,1.5,19.0,20
shrimp,84,20.0,0.2,0.2,0.0,0.0,161
pancakes,180,5.0,30.0,5.0,1.0,6.0,25
maple syrup,104,0.0,27.0,0.0,0.0,24.0,0
sausage link,85,5.0,1.0,7.0,0.0,0.5,20
smoothie,280,12.0,55.0,3.0,7.0,40.0,5
tofu,90,10.0,3.0,5.0,2.0,1.0,0
brown rice,215,5.0,45.0,1.8,3.5,0.4,0
bell pepper,31,1.2,6.0,0.3,2.1,4.2,0
